Temperature,Concentration,Diffusion Coefficient,R^2,stderr,K_alpha,alpha,R^2_anomalous,stderr_K_alpha,stderr_alpha
344.8868868868869,66,1.9352569270636527e-13,0.5752966733349292,3.9907107121259977e-07,5.677894037022006e-10,0.00645951675892585,0.6142423349977713,2.5163055075804112e-06,2.4248988698425335e-05
355.2972972972973,66,2.1652701823955516e-11,0.9939314506401555,4.060607750813966e-06,7.786471329186048e-10,0.41746643892815893,0.9342165887114365,8.580355592589968e-05,0.0005364624089789361
280.9229229229229,66,5.591626580656949e-11,0.998718989822593,4.806262791864931e-06,7.562067765898114e-10,0.722258243619021,0.9849463840749451,7.902160744757954e-05,0.00048478307141538844
356.5985985985986,66,5.089559136926942e-11,0.8913934570054733,4.26371487903256e-05,4.062076714889271e-10,0.9401091043633769,0.859668740953856,0.00017547406924903176,0.001958600866258448
304.1461461461461,66,7.246030219578857e-11,0.985465410417058,2.112007960980071e-05,9.003605301028429e-10,0.7451081519840352,0.985942345894236,9.695082658817541e-05,0.0004981646419932447
279.9219219219219,66,3.1996777780064767e-11,0.997896285223163,3.525913770353337e-06,6.378479168439777e-10,0.594043707318193,0.9783976629687643,6.234400025262981e-05,0.00046140243215433074
285.2272272272272,66,2.3948274514956486e-11,0.794468434801475,2.9234110568276853e-05,2.911443555014013e-10,0.7951787002572788,0.7170616986795464,0.00015053214499867319,0.0023785373542829728
267.9099099099099,66,1.3198477820418348e-10,0.9918978786478346,2.86288863270323e-05,1.174174736273189e-09,0.8686963426911876,0.9842825328993492,0.00015912669584317878,0.00061858524041212
323.0650650650651,66,3.041696968351862e-11,0.9780170899489244,1.094460344862481e-05,1.0560385476946817e-09,0.42684238578603007,0.9728293624823587,7.758223491745557e-05,0.0003569769408522898
316.25825825825825,66,2.828520910819483e-11,0.9833768914397314,8.826128197135756e-06,6.804834928796352e-10,0.537098191836218,0.9348708080829847,0.00010181466167800652,0.0007126820771585538
275.9179179179179,66,1.649713941063246e-11,0.9829854134794361,5.2090739591567594e-06,6.855864512222057e-10,0.37779029047204915,0.9410486283044237,6.384179871493187e-05,0.0004571179167520242
289.03103103103103,66,5.5001009563521676e-11,0.9504050447854826,3.0154335467599622e-05,1.0110846900985743e-09,0.6133450908518008,0.971738410001435,0.00012315608173355007,0.0005733678394518626
341.4834834834835,66,3.434330547320673e-11,0.9199698270325611,2.4310668135095904e-05,5.837369114245611e-10,0.6594204433479376,0.8463706928506493,0.00017350709231188323,0.0013901632419575324
305.84784784784785,66,5.31951995860794e-11,0.9065125720001446,4.0999338425767206e-05,3.9233058070668534e-10,0.9633968388156439,0.8851380814066753,0.00015925623336984974,0.001836496890681158
290.13213213213214,66,7.714100030327994e-11,0.9966371654553312,1.0754350659342824e-05,7.035691599922173e-10,0.8595721173368381,0.9890430219003549,7.841092450439761e-05,0.0005091617512232277
272.4144144144144,66,4.322507257461602e-11,0.8847690517881831,3.74386390822159e-05,4.388147122918465e-10,0.8447469648617174,0.8452508476849251,0.00017868622430226042,0.0018632995859092104
343.98598598598596,66,1.199345867792713e-11,0.9343936808653569,7.627233621460221e-06,7.565453239065676e-10,0.27145297815306085,0.7819891493507068,9.619050813257829e-05,0.0006401822089192859
263.9059059059059,66,8.630623530560528e-11,0.98343995474,2.6879038199999304e-05,4.550197492167214e-10,1.0653299996502361,0.9848571126463059,7.76819681845239e-05,0.0007659027521557187
303.24524524524526,66,1.1766129800501581e-10,0.9694659028189064,5.011579492131544e-05,8.138037074680598e-10,0.9710105013985262,0.9611675980068624,0.00019593054380062034,0.0010885430186054598
258.1001001001001,66,3.915834907434583e-11,0.9907596589796385,9.076092885916245e-06,5.513183735163743e-10,0.7124909245540929,0.9648290999641072,8.590191966724522e-05,0.0007237121281111531
319.16116116116115,66,6.625454564041315e-11,0.9984255856978613,6.3143995434309236e-06,8.351270090738252e-10,0.7451923662447789,0.9883506063148059,8.016431415770824e-05,0.0004440809702969281
269.1111111111111,66,1.0670118565077704e-11,0.958033004916595,5.35978862698333e-06,6.875794971095696e-10,0.27215681151146837,0.9036622058274382,5.6168593732747613e-05,0.0004112393353192615
265.007007007007,66,1.8628727421836114e-11,0.9285699448543189,1.240026840322393e-05,4.0838939177896833e-10,0.5733643955011349,0.8313303656507713,0.00010731223951164675,0.001244396014354732
264.3063063063063,66,3.2725875998446694e-11,0.918872854521739,2.3337878973561728e-05,8.67472958991066e-10,0.5017154704325344,0.9691358725310476,8.655846741136635e-05,0.0004781315966040187
318.66066066066065,66,6.504264196185565e-11,0.9803478451971651,2.2101811903785953e-05,8.931982013630484e-10,0.710795764126369,0.9838793387912785,9.73036016700197e-05,0.000506097303888566
330.7727727727728,66,5.799480708441322e-11,0.9702201701212494,2.438539422236437e-05,1.1432452429244837e-09,0.5933512913628941,0.9807461562578857,0.00010826609543022001,0.0004471016439795496
347.68968968968966,66,3.2208439690120345e-13,0.769177725385045,4.2345757985716263e-07,5.689501704535257e-10,0.009550720749333374,0.5507591246995807,3.917478158192134e-06,3.763682990943847e-05
346.38838838838836,66,1.4413506594153785e-11,0.9512868738845286,7.828014393356466e-06,7.996319542218633e-10,0.30502831221141596,0.8921764631482852,7.958251472147261e-05,0.0004968509505357806
309.25125125125123,66,3.648321967641949e-11,0.9743523848891371,1.4206050098514939e-05,8.999276773090839e-10,0.5267318126676344,0.9579754396625666,0.0001069779645451597,0.0005671839953271059
344.48648648648646,66,1.5834852416813443e-11,0.6999609115312455,2.488174075418443e-05,4.782757830394261e-10,0.47120091190636204,0.5466329788788329,0.00018860420407047068,0.0019000422224273788
284.82682682682685,66,1.7532446445740112e-11,0.9222431093443023,1.2218108301677241e-05,8.131885344351796e-10,0.35303656769092073,0.9491520111371342,6.598018636923438e-05,0.0004004868048178692
357.5995995995996,66,1.702130369033376e-10,0.9930144763960252,3.426330315338475e-05,1.1779497601835634e-09,0.9585480991784132,0.9900502722846231,0.00014428536848334073,0.0005543889629336951
348.0900900900901,66,9.961967305624417e-11,0.9951288453308967,1.6727696120612675e-05,1.0950553866888066e-09,0.7887789862422431,0.9927034607829522,9.057806990862496e-05,0.00038074970075255293
343.8858858858859,66,6.336044652261888e-11,0.9201024224824738,4.481069338932776e-05,6.389861070929288e-10,0.8436548627702721,0.8848663121849355,0.00022186410833783247,0.0015889191446065785
327.0690690690691,66,4.3250318737319273e-11,0.9960125965300697,6.567751378194806e-06,8.84332739676083e-10,0.5854006637713871,0.9787680092992708,8.434882111524192e-05,0.0004508503407041513
334.87687687687685,66,7.242315332113138e-11,0.9950738713149785,1.2229743860862749e-05,7.908385136402248e-10,0.7980138990057397,0.9814636615231794,0.00010374927708581893,0.0006032673637296064
266.8088088088088,66,1.93640836057345e-11,0.9762502455729765,7.248708724061474e-06,6.560779993797273e-10,0.4340525402006986,0.8997026591229477,9.449041642484866e-05,0.000698835760911482
286.8288288288288,66,1.923826718515877e-11,0.9896211133447299,4.728480218901001e-06,5.875379064950566e-10,0.4652898563171095,0.9220326981898075,8.02925208995654e-05,0.0006591572074559409
301.2432432432432,66,3.924909979292492e-11,0.9474545916792626,2.2183629313124602e-05,9.775203008916344e-10,0.5205687003962363,0.9814530494199221,7.796180504504866e-05,0.00038092779190857
