Temperature,Concentration,Diffusion Coefficient,R^2,stderr
344.8868868868869,66,8.040826138228309e-14,0.11221566383593166,8.437183479101937e-07
355.2972972972973,66,2.344045064308173e-11,0.997642327198333,5.9854880277356934e-06
280.9229229229229,66,5.3078281449942434e-11,0.9982773026098216,1.10833245206278e-05
356.5985985985986,66,4.5150263733105404e-11,0.9639052420839106,3.833706487280827e-05
304.1461461461461,66,6.183687767938055e-11,0.9968226800355914,1.57100972203571e-05
279.9219219219219,66,3.284276514977661e-11,0.9941333386815632,1.340735556910795e-05
285.2272272272272,66,2.6471347809941e-11,0.9553527642837776,2.8744923665978655e-05
267.9099099099099,66,1.0978482511551738e-10,0.9995234608668335,1.0912115245354082e-05
323.0650650650651,66,2.699767346718344e-11,0.9605223731757959,2.8146373377688303e-05
316.25825825825825,66,2.285515568058767e-11,0.9858109405424393,1.197077959525156e-05
275.9179179179179,66,1.1011039013263836e-11,0.9873461141417853,5.054802119790864e-06
289.03103103103103,66,7.853654907742193e-11,0.9990302966221662,1.4442420140335874e-05
341.4834834834835,66,3.301713053500787e-11,0.9943257087895997,1.1526010964358847e-05
305.84784784784785,66,4.958551666742564e-11,0.9964841791167689,1.3411330877442667e-05
290.13213213213214,66,8.583372430967231e-11,0.9983204131863116,1.8647102694295253e-05
272.4144144144144,66,4.394734353649848e-11,0.9482253291777506,4.896718860999145e-05
343.98598598598596,66,1.0163606982615738e-11,0.9021072357969182,1.4241004144731456e-05
263.9059059059059,66,8.85729635691292e-11,0.9975357479438455,2.2140250559836884e-05
303.24524524524526,66,9.544472627228988e-11,0.997048902920979,2.2618755285615296e-05
258.1001001001001,66,3.2788218825791915e-11,0.9922073735653171,1.3101620700955232e-05
319.16116116116115,66,7.05259324450894e-11,0.9988413608279284,1.2229426130336939e-05
269.1111111111111,66,7.50488690407182e-12,0.9414753186659678,8.867900155086107e-06
265.007007007007,66,3.169458603639538e-11,0.9973312187414671,1.0155522174531233e-05
264.3063063063063,66,5.2551929620736634e-11,0.9994545680964869,7.58409457936169e-06
318.66066066066065,66,6.548251497958816e-11,0.9832487061318395,4.2985389233335934e-05
330.7727727727728,66,5.7329209673482797e-11,0.9946769594655047,2.1986878153791714e-05
347.68968968968966,66,2.5161469341698883e-13,0.35306878597903374,1.8987863977140533e-06
346.38838838838836,66,7.350491215096242e-12,0.9514306148529265,5.94354263925704e-06
309.25125125125123,66,3.4317587231727915e-11,0.9921189112600234,1.4891174307058081e-05
344.48648648648646,66,2.2146477986281053e-11,0.9030384385067562,3.7202662344132144e-05
284.82682682682685,66,1.8851957673159525e-11,0.9960415833769511,6.017273813493227e-06
357.5995995995996,66,1.4972126109137533e-10,0.9993745175228439,1.713219331482515e-05
348.0900900900901,66,9.87199911988228e-11,0.9979339074812964,2.2029186722083947e-05
343.8858858858859,66,6.016052023231042e-11,0.9797739289614601,4.027393898220155e-05
327.0690690690691,66,4.3868477768325115e-11,0.9935469775582815,1.8769155977504607e-05
334.87687687687685,66,6.842733895289679e-11,0.9976867422145894,1.635408027251903e-05
266.8088088088088,66,1.5926768067219187e-11,0.9960081742851628,4.859542808152208e-06
286.8288288288288,66,1.7344646836014163e-11,0.9638041762951326,1.6451327527589897e-05
301.2432432432432,66,4.0822748976191084e-11,0.995692110535705,1.4399776978989383e-05
323.96596596596595,66,1.849904858034312e-11,0.9570915725340106,1.537391319073626e-05
349.991991991992,66,4.104004870328479e-11,0.9936696297164171,1.5198319563004465e-05
339.68168168168165,66,2.3922833083934427e-11,0.9255026425189059,2.4199933592730443e-05
326.36836836836835,66,1.5964839077872473e-11,0.992475379964535,5.9113189933526675e-06
314.45645645645646,66,4.085161679586282e-12,0.8842732526951592,5.7269439948805216e-06
313.05505505505505,66,5.281521503251597e-11,0.9918326872671775,3.248090021746031e-05
316.958958958959,66,9.459555716051481e-12,0.5942323342869618,3.203994408723864e-05
338.8808808808809,66,4.5311460863596e-11,0.971766582357867,3.332809076143728e-05
327.76976976976977,66,2.026776124248045e-14,3.050660548768719e-05,1.0385958731626423e-05
358.0,66,5.625158299869344e-11,0.999773294136929,4.225346791633746e-06
299.14114114114113,66,1.4088924833836918e-11,0.9651320721197654,1.0823375073171473e-05
353.7957957957958,66,3.722239354997114e-12,0.3497895884866322,3.049061314853512e-05
337.4794794794795,66,2.8718527343836487e-11,0.9589950109734037,2.833455895594982e-05
320.6626626626627,66,4.030112065332134e-11,0.999153030912169,6.013109329142469e-06
258.7007007007007,66,4.1208674408208995e-11,0.9925096674560705,1.962596035662959e-05
286.92892892892894,66,9.707068776563467e-12,0.9938023102325261,3.4279291094763928e-06
265.2072072072072,66,1.2956730253611929e-11,0.9274118356526834,1.5326221198008188e-05
349.5915915915916,66,1.2497098477036962e-10,0.9826794631962406,8.74850473019451e-05
318.7607607607608,66,3.166290071219425e-11,0.9990425071874601,4.533790787010279e-06
319.46146146146145,66,1.3559537799924112e-11,0.983746402140755,8.918864202174391e-06
315.75775775775776,66,3.1308714870226207e-11,0.9988733445720741,7.4804966405734035e-06
276.9189189189189,66,5.305765718651052e-11,0.9983647958613049,1.0457633202069157e-05
291.23323323323325,66,2.2562996040914264e-11,0.9870230901558984,1.020486107179737e-05
335.97797797797796,66,4.889808122735615e-11,0.9997224166464505,4.249020961768674e-06
329.7717717717718,66,1.941507897441007e-11,0.979175996809781,1.0943384113287564e-05
261.9039039039039,66,8.243740505581622e-12,0.9128721263445112,1.152890302317188e-05
352.7947947947948,66,3.759174447708292e-10,0.9991320976539432,5.800771172212873e-05
339.18118118118116,66,4.0100915368741e-11,0.9459939886116314,5.03280873664137e-05
295.8378378378378,66,2.44844546984989e-11,0.9753003566687396,1.5196271903997891e-05
297.13913913913916,66,4.260000519965457e-11,0.9788446009825749,3.203590415104513e-05
262.7047047047047,66,7.761896460801848e-11,0.9701460925576885,6.644372111393147e-05
273.2152152152152,66,4.53337643856052e-12,0.8734680891529597,5.591673540073325e-06
279.6216216216216,66,9.692967147169221e-12,0.993268069054399,3.710208697887963e-06
321.36336336336336,66,5.8099629773657494e-11,0.985973938174966,3.1612717153442894e-05
276.81881881881884,66,1.4124175746191742e-11,0.9798563322529145,8.822499972688436e-06
311.15315315315314,66,2.4974428983567294e-11,0.994111734241646,9.480285309077571e-06
337.7797797797798,66,7.140974264470649e-11,0.9983059668892278,1.8483662850332408e-05
268.3103103103103,66,3.6640233053895e-11,0.9802222176292131,2.764678942819807e-05
308.45045045045043,66,2.0297907613329228e-11,0.9937965359878382,7.067071368966528e-06
271.4134134134134,66,3.950002120566584e-11,0.9993144707554398,5.531537774917554e-06
259.8018018018018,66,1.9311091053777343e-11,0.9941547676345677,6.975355851357228e-06
307.049049049049,66,1.0969145130248763e-10,0.9991812764366619,2.0681584987667743e-05
259.4014014014014,66,4.0783030139823164e-11,0.9937895062144326,1.5370798660973205e-05
345.6876876876877,66,3.381714499304899e-11,0.9788329097876431,2.191162011550475e-05
357.0990990990991,66,1.7737737589145133e-11,0.9908575062617976,7.108360485255804e-06
356.998998998999,66,7.949822166250365e-11,0.9748710525707602,6.164488511948578e-05
356.6986986986987,66,2.075030050831172e-11,0.9899743543636609,1.2060040198732646e-05
356.2982982982983,66,7.98364371050651e-11,0.9834256357374987,4.8952538667436565e-05
355.8978978978979,66,3.1325859083262536e-12,0.9399939091640549,3.698327771626103e-06
355.69769769769766,66,1.3113393308541977e-10,0.9693994719575264,0.00014815326326053944
355.5975975975976,66,4.845621662259147e-11,0.9961716455780818,1.3793828209492874e-05
355.19719719719717,66,7.826643028804371e-11,0.995191379933316,3.050836233108733e-05
354.5965965965966,66,-2.111179971217182e-12,0.11589229311266172,2.3914675475807993e-05
354.09609609609606,66,9.636362029021722e-11,0.9995555091954963,1.114736543573549e-05
353.59559559559557,66,1.1550659037627193e-10,0.9876774709835154,6.870972739248401e-05
353.0950950950951,66,8.516090423648476e-11,0.9976483441560287,2.1223481136574412e-05
352.994994994995,66,5.307338675611616e-11,0.9778553858898554,3.945341706625535e-05
352.6946946946947,66,5.261766674427918e-11,0.9759862939202077,3.805604203925778e-05
352.49449449449446,66,-6.515649573916455e-13,0.006479829579032733,3.113187908526831e-05
352.1941941941942,66,7.32032508053247e-11,0.9943740129503752,2.595424399532538e-05
351.99399399399397,66,1.3606758358639504e-10,0.9994379079022633,2.0030351897855188e-05
351.8938938938939,66,1.238607091068157e-10,0.9936013965629992,4.741075804110995e-05
351.5935935935936,66,2.7258851689243183e-11,0.9881467258622879,1.2719588094125347e-05
351.1931931931932,66,3.71923665699633e-11,0.9813921974974456,2.3097725309806233e-05
350.6926926926927,66,6.205735780893352e-11,0.9918346674593165,2.882372272991568e-05
350.4924924924925,66,7.689917160741997e-11,0.9821928534713374,4.9506131375855436e-05
349.7917917917918,66,4.3595363079772945e-11,0.9973476598584121,1.0379914155298124e-05
349.3913913913914,66,2.3452603530861008e-11,0.9743140800673682,1.435054965862062e-05
349.1911911911912,66,4.098139292811843e-11,0.9972736570515397,1.0785854582827528e-05
349.0910910910911,66,4.518753751984638e-11,0.9987891804355571,7.266281766819708e-06
348.8908908908909,66,1.4857711500157052e-10,0.9983276331977586,3.319975522116741e-05
348.5905905905906,66,7.401107978634017e-13,0.13491139468062838,6.501112653810238e-06
347.98998998999,66,2.5865413066803874e-11,0.9574326955508957,2.356804878800333e-05
347.7897897897898,66,6.73516496588825e-11,0.99223798177155,2.754033184883664e-05
347.18918918918916,66,6.451392200751153e-11,0.988948202698445,3.359283792451519e-05
345.88788788788787,66,6.838613912477253e-11,0.9841508831257989,4.748807914006546e-05
345.58758758758756,66,1.3171330919001868e-10,0.999576941182467,1.4017275253861845e-05
344.1861861861862,66,7.352539421601013e-11,0.987587605250698,4.287184660392321e-05
343.5855855855856,66,3.07667109372136e-11,0.9970156275896932,7.970069714180072e-06
343.48548548548547,66,2.8230979745270066e-11,0.9954871220451653,8.504623652459518e-06
342.88488488488485,66,8.942341992571786e-11,0.983260435958227,5.118994676181064e-05
342.68468468468467,66,4.9288839410525344e-11,0.990479513689046,2.2666016211038747e-05
342.2842842842843,66,1.1994169337305493e-10,0.9764728284621923,8.714004437772806e-05
342.0840840840841,66,1.1092853081266634e-10,0.9992042760478242,1.7737306630990215e-05
341.28328328328325,66,5.037683525247282e-12,0.9100046279882394,8.078957243244765e-06
341.1831831831832,66,1.0390130390239264e-10,0.9998953671820174,5.981180359645668e-06
340.8828828828829,66,5.93159869205653e-11,0.9990811602950525,9.970472875993716e-06
340.6826826826827,66,1.5390965118695244e-11,0.99330687087776,7.187519196182191e-06
339.98198198198196,66,2.141298334685863e-11,0.9852073192548946,1.3634025987975423e-05
338.68068068068067,66,2.800484915996023e-11,0.9946201292906148,1.3171233058854104e-05
338.5805805805806,66,2.5846692510912803e-11,0.992280840254374,1.1309189002706114e-05
338.2802802802803,66,4.220939526020566e-11,0.991947332227784,1.6176376676200365e-05
338.08008008008005,66,7.263994993531191e-11,0.9763660901344161,5.26888511651643e-05
336.97897897897894,66,1.6809278687951415e-11,0.9530289646391961,1.779429305533788e-05
336.6786786786787,66,8.456503507813532e-11,0.9964691880448058,2.39652063511826e-05
336.47847847847845,66,9.163654143375293e-13,0.07904095689556219,9.704223382072284e-06
335.77777777777777,66,4.355424980375993e-11,0.9797339576627468,2.7766036456935976e-05
335.2772772772773,66,1.2028515826768415e-11,0.9612587437139432,1.0984500914663113e-05
334.7767767767768,66,6.910748212179165e-12,0.9788268219321357,4.508934718609157e-06
334.4764764764765,66,2.5924548689908482e-11,0.995064477287572,8.515902196366108e-06
334.17617617617617,66,2.761469576544738e-11,0.9973437843555867,7.0807179918991555e-06
334.0760760760761,66,3.81080907488128e-11,0.9810926326715682,2.070462239848246e-05
333.37537537537537,66,6.289965047918262e-11,0.9023417171759075,8.215603513007753e-05
332.6746746746747,66,9.375410263444552e-11,0.9937830465110644,3.666792995031616e-05
331.97397397397395,66,1.792817331934387e-10,0.9989103636279204,3.3262897116191306e-05
330.67267267267266,66,1.562594947701115e-11,0.9849447610468216,8.165178868156496e-06
330.37237237237235,66,2.907864920286624e-11,0.9811399604382267,1.8672243356990186e-05
329.87187187187186,66,6.085876102485753e-11,0.9923216881301044,2.571443195888983e-05
