Temperature,Concentration,Diffusion Coefficient,R^2,stderr
259.4014014014014,66,4.347348326078747e-11,0.9883315278438788,2.2183566571076558e-05
345.6876876876877,66,3.4163709079603536e-11,0.9777314241123218,2.2473515437753443e-05
357.0990990990991,66,1.8144702347215287e-11,0.9778739364285639,1.3314381085083454e-05
356.998998998999,66,1.4546986046131898e-10,0.9422336642508865,0.00020269374268008027
356.6986986986987,66,2.1729567330341745e-11,0.9919250368690546,1.1575108286260259e-05
356.2982982982983,66,8.049950791040321e-11,0.9834483784958444,4.9127185379446554e-05
355.8978978978979,66,2.5858012886172376e-12,0.9815141150729851,1.5141955398664476e-06
355.69769769769766,66,1.1028968278055998e-10,0.9725019482222474,0.00010773339777154536
355.5975975975976,66,4.857368942075853e-11,0.9964744321928158,1.3572719688094132e-05
355.19719719719717,66,3.747593304612781e-11,0.9798464124519433,2.2280739543034725e-05
354.5965965965966,66,-1.8273783964581274e-12,0.07846560917572663,2.569876769621334e-05
354.09609609609606,66,9.63030889608885e-11,0.9996145812502905,1.0124681179403304e-05
353.59559559559557,66,1.1327096891751656e-10,0.9879541358929131,6.377154316538157e-05
353.0950950950951,66,8.47679439016129e-11,0.9981943911353023,1.8087294370645052e-05
352.994994994995,66,5.5945296686421256e-11,0.9774132857672916,4.2291333943489966e-05
352.6946946946947,66,4.8489288758365436e-11,0.9876154581781689,2.2986600449961114e-05
352.49449449449446,66,-5.680009738013908e-13,0.004795585726050934,3.157696400503345e-05
352.1941941941942,66,7.422714603799479e-11,0.994201777381096,2.5383743633471133e-05
351.99399399399397,66,1.3634122232039508e-10,0.9994497604083461,1.9396170376305595e-05
351.8938938938939,66,1.2623697632090677e-10,0.9926908622497487,4.931613014996194e-05
351.5935935935936,66,2.741582852287726e-11,0.990235951586431,1.128431331601427e-05
351.1931931931932,66,3.773927106780179e-11,0.9790035615203206,2.333592478431052e-05
350.6926926926927,66,6.309785420447071e-11,0.9912135745732299,2.997212692964536e-05
350.4924924924925,66,8.662037476716308e-11,0.9821978396974334,5.7743190418967804e-05
349.7917917917918,66,4.188715598041737e-11,0.9941725464700936,1.5109218535277757e-05
349.3913913913914,66,2.29762099965341e-11,0.9826727887730821,1.1136863927472933e-05
349.1911911911912,66,4.1441418461316656e-11,0.9969629723269346,1.1354691588679903e-05
349.0910910910911,66,4.5168725106077924e-11,0.9987753318393269,7.328646270722219e-06
348.8908908908909,66,1.4743413900494193e-10,0.9980884458311325,3.587008600362312e-05
